"Параметр","Значение"
"Имя файла","samara_weather_199901-202410.csv"
"Количество строк","5804"
"Количество столбцов","9"
"Начальная дата","2000-09-13"
"Конечная дата","2024-01-30"
"Информация о столбцах",""
"Дата","Тип: object, Уникальных значений: 5804, Примеры: 2008-08-17, 2012-10-15, 2010-02-4, 2008-04-17, 2019-04-25"
"Температура (день)","Тип: float64, Уникальных значений: 67, Примеры: 27.0, 31.0, -6.0, 25.0, 28.0"
"Давление (день)","Тип: object, Уникальных значений: 57, Примеры: 741, 751, 753, 750, 752"
"Облачность (день)","Тип: object, Уникальных значений: 6, Примеры: Малооблачно, Пасмурно, Пасмурно, Пасмурно, Переменная облачность"
"Ветер (день)","Тип: object, Уникальных значений: 49, Примеры: ЮЗ 3м/с, Ю 2м/с, ЮВ 2м/с, Ю 3м/с, ЮЗ 2м/с"
"Температура (вечер)","Тип: float64, Уникальных значений: 63, Примеры: 5.0, -2.0, 21.0, -8.0, 6.0"
"Давление (вечер)","Тип: float64, Уникальных значений: 56, Примеры: 745.0, 752.0, 752.0, 755.0, 751.0"
"Облачность (вечер)","Тип: object, Уникальных значений: 6, Примеры: Пасмурно, Ясно, Ясно, Пасмурно, Переменная облачность"
"Ветер (вечер)","Тип: object, Уникальных значений: 49, Примеры: Ш, З 2м/с, ЮВ 2м/с, СЗ 3м/с, В 3м/с"
