Температура (день),Давление (день),Облачность (день),Ветер (день),Температура (вечер),Давление (вечер),Облачность (вечер),Ветер (вечер)
-20.0,775.0,Малооблачно,В 2м/с,-26.0,776.0,Ясно,В 2м/с
-19.0,775.0,Ясно,ЮЗ 1м/с,-22.0,773.0,Ясно,ЮЗ 1м/с
-16.0,761.0,Малооблачно,З 3м/с,-15.0,758.0,Пасмурно,З 3м/с
-12.0,747.0,Пасмурно,Ю 1м/с,-12.0,745.0,Пасмурно,Ю 1м/с
-16.0,750.0,Ясно,С 2м/с,-19.0,752.0,Ясно,С 2м/с
-15.0,754.0,Ясно,С 1м/с,-21.0,755.0,Ясно,С 1м/с
-19.0,758.0,Ясно,ЮВ 2м/с,-24.0,759.0,Ясно,ЮВ 2м/с
-15.0,759.0,Пасмурно,ЮВ 2м/с,-16.0,759.0,Пасмурно,ЮВ 2м/с
-13.0,761.0,Переменная облачность,В 2м/с,-14.0,761.0,Переменная облачность,В 2м/с
-15.0,761.0,Ясно,В 2м/с,-18.0,760.0,Переменная облачность,В 2м/с
-13.0,760.0,Пасмурно,ЮВ 2м/с,-13.0,759.0,Малооблачно,ЮВ 2м/с
-9.0,754.0,Пасмурно,Ю 2м/с,-8.0,753.0,Пасмурно,Ю 2м/с
-1.0,753.0,Пасмурно,Ю 1м/с,-1.0,753.0,Малооблачно,Ю 1м/с
1.0,754.0,Переменная облачность,Ю 2м/с,-1.0,755.0,Переменная облачность,Ю 2м/с
-3.0,754.0,Ясно,ЮВ 2м/с,-6.0,754.0,Ясно,ЮВ 2м/с
-4.0,753.0,Ясно,ЮВ 1м/с,-5.0,752.0,Пасмурно,ЮВ 1м/с
-5.0,748.0,Пасмурно,Ю 2м/с,-7.0,747.0,Пасмурно,Ю 2м/с
-3.0,739.0,Пасмурно,Ю 1м/с,-2.0,738.0,Пасмурно,Ю 1м/с
1.0,737.0,Пасмурно,З 3м/с,0.0,739.0,Ясно,З 3м/с
0.0,741.0,Переменная облачность,З 1м/с,-2.0,741.0,Пасмурно,З 1м/с
-3.0,746.0,Переменная облачность,С 2м/с,-13.0,751.0,Малооблачно,С 2м/с
-16.0,762.0,Ясно,СВ 2м/с,-19.0,765.0,Ясно,СВ 2м/с
-17.0,769.0,Ясно,Ю 2м/с,-20.0,769.0,Ясно,Ю 2м/с
-15.0,769.0,Ясно,ЮЗ 2м/с,-18.0,769.0,Ясно,ЮЗ 2м/с
-9.0,769.0,Ясно,З 2м/с,-13.0,769.0,Ясно,З 2м/с
-4.0,766.0,Ясно,ЮЗ 2м/с,-9.0,765.0,Ясно,ЮЗ 2м/с
1.0,762.0,Ясно,З 1м/с,-11.0,761.0,Ясно,З 1м/с
-7.0,759.0,Переменная облачность,В 2м/с,-7.0,759.0,Пасмурно,В 2м/с
-3.0,759.0,Ясно,В 2м/с,-6.0,759.0,Ясно,В 2м/с
-4.0,759.0,Ясно,В 2м/с,-8.0,758.0,Ясно,В 2м/с
-6.0,757.0,Переменная облачность,В 2м/с,-8.0,757.0,Ясно,В 2м/с
-5.0,756.0,Ясно,ЮВ 2м/с,-8.0,755.0,Ясно,ЮВ 2м/с
-4.0,755.0,Пасмурно,З 1м/с,-8.0,755.0,Малооблачно,З 1м/с
1.0,757.0,Ясно,СЗ 2м/с,-4.0,758.0,Ясно,СЗ 2м/с
1.0,764.0,Ясно,СЗ 3м/с,-6.0,764.0,Ясно,СЗ 3м/с
-1.0,762.0,Малооблачно,З 3м/с,-4.0,761.0,Ясно,З 3м/с
-2.0,760.0,Ясно,З 2м/с,-4.0,760.0,Ясно,З 2м/с
1.0,758.0,Ясно,З 3м/с,-3.0,756.0,Ясно,З 3м/с
4.0,749.0,Ясно,ЮЗ 3м/с,-2.0,747.0,Малооблачно,ЮЗ 3м/с
2.0,745.0,Малооблачно,СВ 2м/с,1.0,743.0,Пасмурно,СВ 2м/с
3.0,737.0,Переменная облачность,СЗ 3м/с,2.0,738.0,Малооблачно,СЗ 3м/с
4.0,741.0,Ясно,З 2м/с,2.0,738.0,Переменная облачность,З 2м/с
5.0,741.0,Малооблачно,ЮЗ 3м/с,2.0,741.0,Малооблачно,ЮЗ 3м/с
5.0,735.0,Пасмурно,Ю 4м/с,5.0,733.0,Переменная облачность,Ю 4м/с
2.0,734.0,Переменная облачность,ЮВ 1м/с,0.0,733.0,Переменная облачность,ЮВ 1м/с
0.0,725.0,Пасмурно,З 3м/с,-1.0,726.0,Пасмурно,З 3м/с
2.0,737.0,Ясно,З 5м/с,-3.0,740.0,Малооблачно,З 5м/с
1.0,740.0,Ясно,С 1м/с,-2.0,743.0,Ясно,С 1м/с
1.0,753.0,Ясно,С 2м/с,-6.0,754.0,Ясно,С 2м/с
5.0,748.0,Малооблачно,ЮЗ 4м/с,4.0,747.0,Ясно,ЮЗ 4м/с
9.0,751.0,Малооблачно,З 2м/с,4.0,753.0,Ясно,З 2м/с
11.0,755.0,Ясно,ЮЗ 2м/с,5.0,756.0,Ясно,ЮЗ 2м/с
9.0,755.0,Ясно,Ю 3м/с,7.0,755.0,Ясно,Ю 3м/с
13.0,752.0,Ясно,ЮЗ 2м/с,3.0,754.0,Переменная облачность,ЮЗ 2м/с
4.0,756.0,Ясно,СВ 2м/с,1.0,753.0,Ясно,СВ 2м/с
7.0,740.0,Ясно,З 3м/с,-1.0,739.0,Переменная облачность,З 3м/с
2.0,740.0,Пасмурно,СВ 3м/с,-1.0,741.0,Пасмурно,СВ 3м/с
3.0,738.0,Пасмурно,СВ 4м/с,0.0,735.0,Пасмурно,СВ 4м/с
2.0,734.0,Ясно,З 3м/с,-3.0,738.0,Переменная облачность,З 3м/с
0.0,737.0,Пасмурно,В 3м/с,1.0,736.0,Пасмурно,В 3м/с
-1.0,738.0,Пасмурно,З 3м/с,-4.0,741.0,Малооблачно,З 3м/с
2.0,747.0,Малооблачно,ЮЗ 2м/с,-2.0,748.0,Ясно,ЮЗ 2м/с
4.0,746.0,Переменная облачность,ЮЗ 4м/с,2.0,746.0,Пасмурно,ЮЗ 4м/с
1.0,740.0,Пасмурно,В 2м/с,0.0,740.0,Пасмурно,В 2м/с
5.0,745.0,Малооблачно,З 4м/с,2.0,745.0,Ясно,З 4м/с
11.0,742.0,Ясно,З 4м/с,4.0,744.0,Ясно,З 4м/с
4.0,742.0,Переменная облачность,СЗ 1м/с,4.0,742.0,Переменная облачность,СЗ 1м/с
3.0,744.0,Малооблачно,С 2м/с,0.0,746.0,Ясно,С 2м/с
1.0,753.0,Переменная облачность,С 2м/с,-1.0,756.0,Ясно,С 2м/с
3.0,762.0,Ясно,С 2м/с,-1.0,763.0,Ясно,С 2м/с
7.0,763.0,Ясно,З 3м/с,3.0,762.0,Ясно,З 3м/с
10.0,760.0,Ясно,Ю 3м/с,7.0,758.0,Ясно,Ю 3м/с
11.0,757.0,Пасмурно,Ю 2м/с,8.0,756.0,Ясно,Ю 2м/с
9.0,756.0,Переменная облачность,ЮЗ 2м/с,8.0,756.0,Ясно,ЮЗ 2м/с
16.0,756.0,Ясно,ЮЗ 2м/с,11.0,756.0,Ясно,ЮЗ 2м/с
15.0,753.0,Переменная облачность,ЮЗ 2м/с,11.0,753.0,Переменная облачность,ЮЗ 2м/с
12.0,756.0,Ясно,С 1м/с,8.0,756.0,Ясно,С 1м/с
15.0,757.0,Ясно,СЗ 2м/с,11.0,757.0,Ясно,СЗ 2м/с
18.0,755.0,Ясно,З 1м/с,11.0,754.0,Ясно,З 1м/с
19.0,755.0,Ясно,С 2м/с,11.0,758.0,Ясно,С 2м/с
15.0,759.0,Ясно,Ю 2м/с,11.0,758.0,Ясно,Ю 2м/с
20.0,748.0,Малооблачно,З 3м/с,16.0,744.0,Ясно,З 3м/с
