Дата,Температура (день),Давление (день),Облачность (день),Ветер (день),Температура (вечер),Давление (вечер),Облачность (вечер),Ветер (вечер)
2020-01-01,-2.0,738,Пасмурно,ЮЗ 1м/с,-2.0,740.0,Пасмурно,ЮЗ 1м/с
2020-01-02,-6.0,749,Пасмурно,СЗ 1м/с,-7.0,750.0,Пасмурно,СЗ 1м/с
2020-01-03,-5.0,751,Пасмурно,Ю 1м/с,-2.0,749.0,Пасмурно,Ю 1м/с
2020-01-04,-2.0,745,Пасмурно,ЮЗ 3м/с,-1.0,745.0,Пасмурно,ЮЗ 3м/с
2020-01-05,-1.0,748,Пасмурно,ЮЗ 1м/с,-1.0,750.0,Пасмурно,ЮЗ 1м/с
2020-01-06,0.0,755,Ясно,Ш,-2.0,756.0,Малооблачно,Ш
2020-01-07,-2.0,757,Переменная облачность,З 2м/с,-4.0,758.0,Пасмурно,З 2м/с
2020-01-08,-4.0,760,Пасмурно,В 1м/с,-4.0,759.0,Пасмурно,В 1м/с
2020-01-09,-3.0,755,Пасмурно,ЮЗ 2м/с,-5.0,753.0,Пасмурно,ЮЗ 2м/с
2020-01-10,-4.0,750,Малооблачно,ЮЗ 2м/с,-4.0,750.0,Пасмурно,ЮЗ 2м/с
2020-01-11,-2.0,750,Пасмурно,ЮЗ 1м/с,-3.0,749.0,Переменная облачность,ЮЗ 1м/с
2020-01-12,-3.0,751,Пасмурно,З 2м/с,-3.0,750.0,Пасмурно,З 2м/с
2020-01-13,-4.0,742,Пасмурно,З 4м/с,-4.0,742.0,Пасмурно,З 4м/с
2020-01-14,0.0,751,Пасмурно,З 2м/с,0.0,753.0,Пасмурно,З 2м/с
2020-01-15,-1.0,759,Переменная облачность,З 2м/с,-4.0,759.0,Малооблачно,З 2м/с
2020-01-16,1.0,752,Пасмурно,З 4м/с,0.0,751.0,Пасмурно,З 4м/с
2020-01-17,1.0,753,Пасмурно,З 1м/с,1.0,755.0,Пасмурно,З 1м/с
2020-01-18,1.0,756,Пасмурно,З 1м/с,1.0,757.0,Пасмурно,З 1м/с
2020-01-19,0.0,755,Переменная облачность,З 4м/с,-1.0,755.0,Переменная облачность,З 4м/с
2020-01-20,-1.0,752,Пасмурно,З 3м/с,-2.0,750.0,Пасмурно,З 3м/с
2020-01-21,1.0,744,Пасмурно,ЮЗ 2м/с,0.0,739.0,Пасмурно,ЮЗ 2м/с
2020-01-22,1.0,731,Малооблачно,З 4м/с,-2.0,731.0,Малооблачно,З 4м/с
2020-01-23,-2.0,734,Пасмурно,СЗ 1м/с,-6.0,737.0,Малооблачно,СЗ 1м/с
2020-01-24,-7.0,743,Малооблачно,З 3м/с,-10.0,743.0,Пасмурно,З 3м/с
2020-01-25,-1.0,734,Пасмурно,ЮЗ 2м/с,0.0,733.0,Переменная облачность,ЮЗ 2м/с
2020-01-26,-2.0,737,Переменная облачность,СЗ 3м/с,-4.0,742.0,Малооблачно,СЗ 3м/с
2020-01-27,-2.0,740,Пасмурно,СЗ 5м/с,-7.0,746.0,Пасмурно,СЗ 5м/с
2020-01-28,-10.0,756,Ясно,Ю 1м/с,-13.0,757.0,Переменная облачность,Ю 1м/с
2020-01-29,-8.0,755,Пасмурно,В 3м/с,-10.0,754.0,Пасмурно,В 3м/с
2020-01-30,-2.0,748,Пасмурно,В 3м/с,-2.0,747.0,Пасмурно,В 3м/с
2020-01-31,-1.0,744,Пасмурно,ЮВ 2м/с,-1.0,744.0,Пасмурно,ЮВ 2м/с
2020-02-01,0.0,745,Пасмурно,ЮЗ 1м/с,-1.0,746.0,Нет данных,ЮЗ 1м/с
