"Параметр","Значение"
"Имя файла","предобр_samara_weather_199901-202410.csv"
"Количество строк","5804"
"Количество столбцов","31"
"Начальная дата","2000-09-13"
"Конечная дата","2024-01-30"
"Информация о столбцах",""
"Дата","Тип: object, Уникальных значений: 5804, Примеры: 2022-11-24, 2017-09-21, 2023-03-6, 2008-05-22, 2013-04-6"
"Температура (день)","Тип: float64, Уникальных значений: 67, Примеры: 1.0, 28.0, 14.0, -9.0, 25.0"
"Давление (день)","Тип: float64, Уникальных значений: 57, Примеры: 735.0, 743.0, 739.0, 744.0, 735.0"
"Температура (вечер)","Тип: float64, Уникальных значений: 63, Примеры: -4.0, -4.0, 15.0, 3.0, 10.0"
"Давление (вечер)","Тип: float64, Уникальных значений: 57, Примеры: 751.0, 753.0, 749.0, 750.0, 740.0"
"Облачность (день)-Ясно","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Облачность (день)-Малооблачно","Тип: int64, Уникальных значений: 2, Примеры: 0, 1"
"Облачность (день)-Переменная облачность","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Облачность (день)-Пасмурно","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Облачность (вечер)-Ясно","Тип: int64, Уникальных значений: 2, Примеры: 1, 1"
"Облачность (вечер)-Малооблачно","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Облачность (вечер)-Переменная облачность","Тип: int64, Уникальных значений: 2, Примеры: 1, 0"
"Облачность (вечер)-Пасмурно","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (день) (м/с)","Тип: float64, Уникальных значений: 8, Примеры: 2.0, 2.0, 4.0, 1.0, 2.0"
"Ветер (день)-С","Тип: int64, Уникальных значений: 2, Примеры: 0, 1"
"Ветер (день)-СВ","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (день)-В","Тип: int64, Уникальных значений: 2, Примеры: 1, 0"
"Ветер (день)-ЮВ","Тип: int64, Уникальных значений: 2, Примеры: 0, 1"
"Ветер (день)-Ю","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (день)-ЮЗ","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (день)-З","Тип: int64, Уникальных значений: 2, Примеры: 1, 0"
"Ветер (день)-СЗ","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (вечер) (м/с)","Тип: float64, Уникальных значений: 8, Примеры: 2.0, 2.0, 2.0, 2.0, 0.0"
"Ветер (вечер)-С","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (вечер)-СВ","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (вечер)-В","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (вечер)-ЮВ","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (вечер)-Ю","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (вечер)-ЮЗ","Тип: int64, Уникальных значений: 2, Примеры: 1, 0"
"Ветер (вечер)-З","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
"Ветер (вечер)-СЗ","Тип: int64, Уникальных значений: 2, Примеры: 0, 0"
